picture1,prime1,picture2,prime2,space,target,time,itemNo,itemType
airplane2.png,黑飞机在白飞机前面。,hor_ball2.png,黑球在白球后面。,hor,进球的一秒早于观众欢呼的一秒。,second,1,experimental
bike2.png,黑自行车在白自行车前面。,bird1.png,黑鸟在白鸟后面。,hor,她按下关机键的一秒早于关机的一秒。,second,2,experimental
backpack1.png,黑包在白包下面。,bowl2.png,白碗在黑碗上面。,ver,冲过终点线的一秒晚于起跑的一秒。,second,3,experimental
bag1.png,黑袋子在白袋子上面。,butterfly1.png,白蝴蝶在黑蝴蝶下面。,ver,咽下药的一秒晚于喝水的一秒。,second,4,experimental
bike1.png,白自行车在黑自行车后面。,horse1.png,白马在黑马前面。,hor,交卷的一分钟早于答题的一分钟。,minute,5,experimental
airplane1.png,黑飞机在白飞机前面。,cow1.png,白牛在黑牛后面。,hor,她下楼梯的一分钟早于她准备出门的一分钟。,minute,6,experimental
plate1.png,白盘子在黑盘子上面。,ver_cat1.png,黑猫在白猫下面。,ver,写下影片观后感的一分钟晚于观看影片的一分钟。,minute,7,experimental
backpack2.png,黑包在白包上面。,crab1.png,白螃蟹在黑螃蟹上面。,ver,回味歌曲的一分钟晚于听歌的一分钟。,minute,8,experimental
rabbit2.png,黑兔子在白兔子前面。,car2.png,黑车在白车后面。,hor,做饭的一小时早于吃饭的一小时。,hour,9,experimental
bird2.png,黑鸟在白鸟前面。,duck1.png,黑鸭子在白鸭子后面。,hor,等待餐厅位置的一小时早于吃饭的一小时。,hour,10,experimental
spoon1.png,白勺子在黑勺子上面。,ver_ball1.png,黑球在白球下面。,ver,上课的一小时晚于休息的一小时。,hour,11,experimental
bag2.png,白袋子在黑袋子上面。,crab2.png,黑螃蟹在白螃蟹下面。,ver,看电影的一小时晚于去电影院路上的一小时。,hour,12,experimental
car1.png,白车在黑车前面。,hor_cat1.png,黑猫在白猫后面。,hor,圣诞节比中秋节晚。,day,13,experimental
cow2.png,白牛在黑牛前面。,duck2.png,黑鸭子在白鸭子后面。,hor,平安夜比圣诞节晚到。,day,14,experimental
gecko1.png,黑壁虎在白壁虎下面。,pencil1.png,白铅笔在黑铅笔上面。,ver,国庆节比儿童节来得晚。,day,15,experimental
bowl1.png,白碗在黑碗上面。,cup1.png,黑杯子在白杯子下面。,ver,初赛比赛日比决赛比赛日晚。,day,16,experimental
hor_cat2.png,黑猫在白猫后面。,dog1.png,黑狗在白狗前面。,hor,训练周比比赛周早。,week,17,experimental
elephant1.png,白大象在黑大象前面。,horse2.png,白马在黑马后面。,hor,培训周比考核周来的早。,week,18,experimental
ver_fish2.png,黑鱼在白鱼下面。,hoodie1.png,白衣服在黑衣服上面。,ver,期末周比期中周晚。,week,19,experimental
cup2.png,白杯子在黑杯子上面。,plate2.png,黑盘子在白盘子下面。,ver,考试周比新生周晚。,week,20,experimental
dog2.png,白狗在黑狗前面。,mouse1.png,黑老鼠在白老鼠后面。,hor,桃花开的月份比下雪的月份早。,month,21,experimental
rabbit1.png,白兔子在黑兔子前面。,pig1.png,黑猪在白猪后面。,hor,秋天的月份比冬天的月份早。,month,22,experimental
ver_cat2.png,黑猫在白猫下面。,hoodie2.png,黑衣服在白衣服下面。,ver,夏天的月份比春天的月份晚。,month,23,experimental
toothbrush1.png,白牙刷在黑牙刷下面。,trousers1.png,黑裤子在白裤子上面。,ver,收获的月份比播种的月份晚。,month,24,experimental
hor_fish2.png,黑鱼在白鱼后面。,mouse2.png,白老鼠在黑老鼠前面。,hor,二战开始的一年早于新中国成立的一年,year,25,experimental
elephant2.png,黑大象在白大象后面。,sheep1.png,白羊在黑羊后面。,hor,苹果公司建立的一年早于小米建立的一年。,year,26,experimental
gecko2.png,黑壁虎在白壁虎上面。,pencil2.png,白笔在黑笔下面。,ver,乾隆登基的一年晚于李世民去世的一年。,year,27,experimental
butterfly2.png,黑蝴蝶在白蝴蝶上面。,spoon2.png,白勺子在黑勺子下面。,ver,五四运动的一年晚于火烧圆明园的一年。,year,28,experimental
worm2.png,白虫子在黑虫子后面。,hor_fish1.png,白鱼在黑鱼前面。,hor,清朝的世纪比唐朝的世纪晚,century,29,experimental
pig2.png,黑猪在白猪后面。,sheep2.png,白羊在黑羊后面。,hor,人工智能的世纪晚于蒸汽机的世纪。,century,30,experimental
ver_worm2.png,黑虫子在白虫子上面。,ver_fish1.png,白鱼在黑鱼下面。,ver,时光机的世纪晚于现在的世纪。,century,31,experimental
toothbrush2.png,白牙刷在黑牙刷上面。,trousers2.png,黑裤子在白裤子下面。,ver,唐朝的世纪晚于明朝的世纪。,century,32,experimental
