time,item,ver,hor,is_filler,
second,1,考试铃声响起的下一秒，她开始做题。,考试铃声响起的后一秒，她开始做题。,no,
second,2,没人知道下一秒会发生什么事情。,没人知道后一秒会发生什么事情。,no,
second,3,闹铃响起的上一秒他就醒了。,闹铃响起的前一秒他就醒了。,no,
second,4,我不知道上一秒发生了什么。,我不知道前一秒发生了什么。,no,
minute,5,下一分钟她就可能离他远去。,后一分钟她就可能离他远去。,no,
minute,6,他恨不得下一分钟就离开会议室。,他恨不得后一分钟就离开会议室。,no,
minute,7,她想不起来她上一分钟做了什么。,她想不起来她前一分钟做了什么。,no,
minute,8,她上一分钟就已经离开房间了。,她前一分钟就已经离开房间了。,no,
hour,9,他知道下个小时该做什么工作。,他知道后一个小时该做什么工作。,no,
hour,10,我国田径运动员的比赛将在下个小时进行。,我国田径运动员的比赛将在后一个小时进行。,no,
hour,11,她上个小时就把作业做完了。,她前一个小时就把作业做完了。,no,
hour,12,他上个小时就去学校了。,他前一个小时就去学校了。,no,
day,13,我买了下一天回北京的机票。,我买了后一天回北京的机票。,no,
day,14,她刚刚安排了下一天的会议。,她刚刚安排了后一天的会议。,no,
day,15,他上一天就已经坐上了去广州的火车。,他前一天就已经坐上了去广州的火车。,no,
day,16,她上一天的作业已经写完了。,她前一天的作业已经写完了。,no,
week,17,她下一周就要毕业了。,她后一周就要毕业了。,no,
week,18,这节课的作业是预习下一周的课程。,这节课的作业是预习后一周的课程。,no,
week,19,上一周他就已经痊愈了。,前一周他就已经痊愈了。,no,
week,20,她刚刚提到的会议就在上一周。,她刚刚提到的会议就在前一周。,no,
month,21,她下个月要去医院实习。,她后一个月要去医院实习。,no,
month,22,他临走时说下个月才能回来。,他临走时说后一个月才能回来。,no,
month,23,我上个月还没有理发。,我前一个月还没有理发。,no,
month,24,她上个月的房租已经付清了。,她前一个月的房租已经付清了。,no,
year,25,我还没决定好下一年在哪里住。,我还没决定好后一年在哪里住。,no,
year,26,公司计划下一年开十家分店。,公司计划后一年开十家分店。,no,
year,27,这本书上一年就已经出版了。,这本书前一年就已经出版了。,no,
year,28,他的工资比上一年增长了两倍。,他的工资比前一年增长了两倍。,no,
century,29,人类在下个世纪会面临更严重的问题。,人类在后一个世纪会面临更严重的问题。,no,
century,30,预计下个世纪科学技术会出现重大进步。,预计后一个个世纪科学技术会出现重大进步。,no,
century,31,上海是从上个世纪开始发展的。,上海是从前一个世纪开始发展的。,no,
century,32,上个世纪还没有这么先进的科技。,前一个世纪还没有这么先进的科技。,no,
<NA>,33,我今天已经吃饭了。,吃饭了已经今天我。,yes,
<NA>,34,她早就已经去学校了。,去学校了她已经早就。,yes,
<NA>,35,他不喜欢这本书。,不这本书他喜欢。,yes,
<NA>,36,这支笔太旧了。,太这支笔旧了。,yes,
<NA>,37,她很羡慕我。,她很高挑我。,yes,
<NA>,38,他给我递了一个瓶子。,他给我递了一。,yes,
<NA>,39,她给了我一份礼物。,她给了我一。,yes,
<NA>,40,他上周已经毕业了。,他上个周已经毕业了。,yes,
<NA>,41,她上个月说不想再工作了。,她上一月说不想再工作了。,yes,
<NA>,42,她妈妈给她买了一条狗。,她妈妈给她买了一辆狗。,yes,
<NA>,43,我吃饭了。,我了吃饭。,yes,
<NA>,44,这只狗真可爱。,真这只狗可爱。,yes,
<NA>,45,我已经毕业了。,我了已经毕业。,yes,
<NA>,46,他去年买了两辆车。,他去年买了两只车。,yes,
<NA>,47,你去把这瓶水倒了吧。,你去把这头水倒了吧。,yes,
<NA>,48,不知道这只小狗怎么想。,不知道这辆小狗怎么想。,yes,
<NA>,49,她已经很困了。,已经她很困了。,yes,
<NA>,50,我吃的饭很难吃。,我吃难吃。,yes,
<NA>,51,这个菜我吃过了。,这个菜吃。,yes,
<NA>,52,去帮你的朋友问问。,去你的朋友帮问问。,yes,
<NA>,53,我的书包已经很沉了。,我的书包已经了很沉。,yes,
<NA>,54,这个水杯很好看。,这个水杯好看很。,yes,
<NA>,55,他经常发出奇怪的声音。,他发出经常奇怪的声音。,yes,
<NA>,56,她的头发该剪了。,她该头发剪了。,yes,
<NA>,57,这个文档应该删掉。,应该删掉文档这个。,yes,
<NA>,58,窗帘看起来好脏。,窗帘看起来脏好。,yes,
<NA>,59,你可不可以去买一下纸巾。,你去纸巾买一下可不可以。,yes,
<NA>,60,我的电脑今天磕到墙了。,我的电脑墙磕到了今天。,yes,
<NA>,61,他之前就已经离开了。,他就已经之前离开了。,yes,
<NA>,62,这个屋子里有臭味。,这个屋子里臭味有。,yes,
<NA>,63,我还没读过这本书。,我书这本还没读过。,yes,
<NA>,64,这个游戏真好玩。,这个游戏好玩真。,yes,
